ID;TARGET
ID0001;1
ID0002;1
ID0003;1
ID0004;1
ID0005;1
ID0006;1
ID0007;1
ID0008;1
ID0009;1
ID0010;1
ID0011;1
ID0012;1
ID0013;1
ID0014;1
ID0015;1
ID0016;1
ID0017;1
ID0018;1
ID0019;1
ID0020;1
ID0021;1
ID0022;1
ID0023;1
ID0024;1
ID0025;1
ID0026;1
ID0027;1
ID0028;1
ID0029;1
ID0030;1
ID0031;2
ID0032;2
ID0033;2
ID0034;2
ID0035;2
ID0036;2
ID0037;2
ID0038;2
ID0039;2
ID0040;2
ID0041;2
ID0042;2
ID0043;2
ID0044;2
ID0045;2
ID0046;2
ID0047;2
ID0048;2
ID0049;2
ID0050;2
ID0051;2
ID0052;2
ID0053;2
ID0054;2
ID0055;2
ID0056;2
ID0057;2
ID0058;2
ID0059;2
ID0060;2
